customer_id,signup_date,subscription_type,monthly_revenue,total_revenue,months_active,cac,churned,clv,churn_status,retained_3_months,retained_6_months,clv_to_cac_ratio
1,2023-01-01,Basic,29.00,348.00,12,10.00,0,348.00,Active,1,1,34.80
2,2023-02-01,Pro,99.00,990.00,10,30.00,0,990.00,Active,1,1,33.00
3,2023-03-01,Enterprise,249.00,747.00,3,70.00,1,747.00,Churned,1,0,10.67
4,2023-04-01,Basic,29.00,261.00,9,10.00,0,261.00,Active,1,1,26.10
5,2023-05-01,Pro,99.00,396.00,4,30.00,1,396.00,Churned,1,0,13.20
6,2023-06-01,Basic,29.00,145.00,5,10.00,1,145.00,Churned,1,0,14.50
7,2023-07-01,Pro,99.00,1089.00,11,30.00,0,1089.00,Active,1,1,36.30
8,2023-08-01,Enterprise,249.00,2988.00,12,70.00,0,2988.00,Active,1,1,42.69
9,2023-09-01,Basic,29.00,58.00,2,10.00,1,58.00,Churned,0,0,5.80
10,2023-10-01,Pro,99.00,792.00,8,30.00,0,792.00,Active,1,1,26.40
11,2023-11-01,Basic,29.00,174.00,6,10.00,0,174.00,Active,1,1,17.40
12,2023-12-01,Pro,99.00,891.00,9,30.00,0,891.00,Active,1,1,29.70
13,2024-01-01,Enterprise,249.00,249.00,1,70.00,1,249.00,Churned,0,0,3.56
14,2024-02-01,Basic,29.00,87.00,3,10.00,1,87.00,Churned,1,0,8.70
15,2024-03-01,Pro,99.00,693.00,7,30.00,0,693.00,Active,1,1,23.10
16,2024-04-01,Basic,29.00,232.00,8,10.00,0,232.00,Active,1,1,23.20
17,2024-05-01,Pro,99.00,99.00,1,30.00,1,99.00,Churned,0,0,3.30
18,2024-06-01,Enterprise,249.00,2490.00,10,70.00,0,2490.00,Active,1,1,35.57
19,2024-07-01,Basic,29.00,58.00,2,10.00,1,58.00,Churned,0,0,5.80
20,2024-08-01,Pro,99.00,1089.00,11,30.00,0,1089.00,Active,1,1,36.30
